DATE,HOUR,LAT,LONG,CONTAINMENT,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
8012025,0,36.38288428436155,-112.04500815371699,9,1008.4,24.4,-3.1,18.4,258,23.2,0.0,16
8012025,1,36.38288428436155,-112.04500815371699,9,1009.0,22.9,0.1,17.9,239,20.2,0.0,22
8012025,2,36.38288428436155,-112.04500815371699,9,1009.4,22.2,-1.2,17.8,250,14.6,0.0,21
8012025,3,36.38288428436155,-112.04500815371699,9,1010.5,21.1,-2.8,15.6,253,19.9,0.0,20
8012025,4,36.38288428436155,-112.04500815371699,9,1011.2,19.6,-2.1,14.5,254,18.3,0.0,23
8012025,5,36.38288428436155,-112.04500815371699,9,1012.1,18.0,0.1,12.7,261,21.9,0.0,30
8012025,6,36.38288428436155,-112.04500815371699,9,1012.4,18.0,-0.3,12.1,263,25.4,0.0,29
8012025,7,36.38288428436155,-112.04500815371699,9,1012.8,17.5,-0.3,11.3,266,27.4,0.0,30
8012025,8,36.38288428436155,-112.04500815371699,9,1012.9,16.9,0.9,11.1,261,26.3,0.0,34
8012025,9,36.38288428436155,-112.04500815371699,9,1013.5,16.2,-0.1,9.8,254,28.8,0.0,33
8012025,10,36.38288428436155,-112.04500815371699,9,1014.3,15.6,3.0,9.1,259,33.4,0.0,43
8012025,11,36.38288428436155,-112.04500815371699,9,1014.9,15.7,4.7,9.1,243,36.4,0.0,48
8012025,12,36.38288428436155,-112.04500815371699,9,1014.6,15.4,5.3,10.3,239,27.0,0.0,51
8012025,13,36.38288428436155,-112.04500815371699,9,1015.6,15.2,5.1,10.7,239,22.6,0.0,51
8012025,14,36.38288428436155,-112.04500815371699,9,1016.9,17.4,7.1,14.4,228,15.0,0.0,51
8012025,15,36.38288428436155,-112.04500815371699,9,1017.2,19.2,7.9,16.9,201,12.0,0.0,48
8012025,16,36.38288428436155,-112.04500815371699,9,1018.2,20.6,7.9,17.7,207,16.1,0.0,44
8012025,17,36.38288428436155,-112.04500815371699,9,1017.4,22.0,7.7,19.1,225,20.4,0.0,40
8012025,18,36.38288428436155,-112.04500815371699,9,1016.4,23.2,6.5,20.4,229,22.7,0.0,34
8012025,19,36.38288428436155,-112.04500815371699,9,1015.7,24.1,4.9,21.1,229,22.7,0.0,29
8012025,20,36.38288428436155,-112.04500815371699,9,1014.3,25.0,3.0,21.3,227,24.5,0.0,24
8012025,21,36.38288428436155,-112.04500815371699,9,1012.8,25.0,1.1,20.5,246,19.3,0.0,21
8012025,22,36.38288428436155,-112.04500815371699,9,1011.8,24.9,1.1,19.0,264,27.9,0.0,21
8012025,23,36.38288428436155,-112.04500815371699,9,1011.1,25.2,0.6,19.5,263,25.1,0.0,20
8012025,24,36.38288428436155,-112.04500815371699,9,1010.9,24.9,-1.0,19.6,233,21.1,0.0,18
